    YEAR          X        Y        Z      X_SIG    Y_SIG    Z_SIG
 2019.113122   17.566   -2.247  -13.248    1.382    1.014    1.980
 2019.274347   15.915   -3.586  -11.996    1.186    0.887    1.860
 2019.438312   16.102   -5.435  -14.876    1.531    1.558    1.819
 2019.607013   13.332   -3.027  -17.056    1.190    2.448    1.912
 2019.763005   13.674    0.318  -16.514    1.287    1.232    1.753
 2019.927696   16.745    0.312  -14.031    1.349    1.060    2.171
 2020.086631   18.113   -0.097   -8.064    1.361    1.623    2.096
 2020.259785   16.694   -1.882   -7.013    1.454    1.115    1.977
 2020.421650   14.726   -4.439  -13.751    1.219    0.899    1.790
 2020.591815   13.713   -1.132  -20.114    1.246    1.229    2.033
 2020.747187   13.449    2.678  -13.612    1.334    2.672    2.083
 2020.915249   17.277    3.169  -12.505    1.552    1.775    3.058
 2021.090335   19.297    0.323  -15.135    1.438    1.074    2.089
 2021.243080   17.919   -2.450  -12.106    1.200    2.071    1.763
 2021.411368   16.112   -3.103  -11.423    1.515    1.309    1.997
 2021.575359   11.724   -0.818  -18.671    1.661    1.162    2.239
 2021.736898   14.485    2.194  -13.844    1.255    0.849    2.406
 2021.898471   17.026    1.167  -10.052    1.273    0.970    1.907
 2022.067840   18.001    0.534   -9.120    1.356    1.228    1.863
 2022.231899   15.389   -2.561  -13.987    1.294    0.952    2.071
 2022.398200   16.668   -2.633  -19.639    1.325    1.523    2.014
 2022.558744   13.832   -0.540  -22.304    1.508    2.280    2.813
 2022.723140   14.195    2.310  -19.731    1.385    1.533    4.400
 2022.888701   17.708    1.980  -15.455    1.342    1.085    1.933
 2023.054882   18.931    1.438  -10.326    1.558    1.039    2.148
 2023.214610   16.754   -0.268  -10.902    1.515    1.137    2.295
 2023.383696   15.029   -2.703  -14.974    1.522    1.073    2.360
 2023.548651   11.932   -0.716  -22.852    1.409    1.097    2.367
 2023.710053   11.120    2.556  -19.732    1.277    1.163    2.133
 2023.873010   14.169    5.570  -16.195    1.332    2.128    2.217
 2024.041490   17.298    2.877  -12.325    1.424    1.388    2.544
 2024.202089   15.526    1.160  -17.853    1.342    2.383    3.374
 2024.368503   15.487    0.862  -17.930    2.116    1.631    2.406
 2024.531802   13.615    0.066  -20.660    1.429    1.427    2.012
 2024.697782   12.363    2.615  -16.799    1.386    0.919    1.841
 2024.859066   14.570    4.493  -13.430    1.526    1.092    2.186
 2024.952878   12.050    4.147  -12.095    4.696    3.942    7.836
